example_index,image_id,part_category,source,baseline_prediction,baseline_true_probability,grid_row,grid_column,occluded_true_probability,prediction_delta,occluded_prediction
2,external_image_taillight_4518332,taillight,wikimedia_commons_open_license,shock_absorber,0.014582131989300251,1,2,0.027554430067539215,-0.012972298078238964,shock_absorber
2,external_image_taillight_4518332,taillight,wikimedia_commons_open_license,shock_absorber,0.014582131989300251,2,0,0.034436192363500595,-0.019854060374200344,shock_absorber
2,external_image_taillight_4518332,taillight,wikimedia_commons_open_license,shock_absorber,0.014582131989300251,2,1,0.09212931245565414,-0.0775471804663539,shock_absorber
2,external_image_taillight_4518332,taillight,wikimedia_commons_open_license,shock_absorber,0.014582131989300251,2,2,0.034586627036333084,-0.020004495047032833,shock_absorber
3,external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,air_filter,0.003470279276371002,0,0,0.0020046052522957325,0.0014656740240752697,air_filter
3,external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,air_filter,0.003470279276371002,0,1,0.001197206787765026,0.002273072488605976,air_filter
3,external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,air_filter,0.003470279276371002,0,2,0.0009992809500545263,0.002470998326316476,air_filter
3,external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,air_filter,0.003470279276371002,1,0,0.002616527723148465,0.000853751553222537,air_filter
3,external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,air_filter,0.003470279276371002,1,1,0.001013884088024497,0.002456395188346505,air_filter
3,external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,air_filter,0.003470279276371002,1,2,0.0015772965271025896,0.0018929827492684126,air_filter
3,external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,air_filter,0.003470279276371002,2,0,0.0012326837750151753,0.002237595501355827,air_filter
3,external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,air_filter,0.003470279276371002,2,1,0.001794540206901729,0.001675739069469273,air_filter
3,external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,air_filter,0.003470279276371002,2,2,0.0015979154268279672,0.001872363849543035,air_filter
4,external_image_headlight_2983638,headlight,wikimedia_commons_open_license,air_filter,0.001790262758731842,0,0,0.0015006361063569784,0.0002896266523748636,air_filter
4,external_image_headlight_2983638,headlight,wikimedia_commons_open_license,air_filter,0.001790262758731842,0,1,0.002245941199362278,-0.00045567844063043594,alternator
4,external_image_headlight_2983638,headlight,wikimedia_commons_open_license,air_filter,0.001790262758731842,0,2,0.001129167154431343,0.000661095604300499,air_filter
4,external_image_headlight_2983638,headlight,wikimedia_commons_open_license,air_filter,0.001790262758731842,1,0,0.008520271629095078,-0.0067300088703632355,air_filter
4,external_image_headlight_2983638,headlight,wikimedia_commons_open_license,air_filter,0.001790262758731842,1,1,0.0007841194747015834,0.0010061432840302587,air_filter
4,external_image_headlight_2983638,headlight,wikimedia_commons_open_license,air_filter,0.001790262758731842,1,2,0.0011617803247645497,0.0006284824339672923,air_filter
4,external_image_headlight_2983638,headlight,wikimedia_commons_open_license,air_filter,0.001790262758731842,2,0,0.0026846963446587324,-0.0008944335859268904,alternator
4,external_image_headlight_2983638,headlight,wikimedia_commons_open_license,air_filter,0.001790262758731842,2,1,0.005244772881269455,-0.003454510122537613,starter
4,external_image_headlight_2983638,headlight,wikimedia_commons_open_license,air_filter,0.001790262758731842,2,2,0.004819071386009455,-0.0030288086272776127,air_filter
5,external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,shock_absorber,0.27416175603866577,0,0,0.2097298800945282,0.06443187594413757,taillight
5,external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,shock_absorber,0.27416175603866577,0,1,0.14212414622306824,0.13203760981559753,taillight
5,external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,shock_absorber,0.27416175603866577,0,2,0.37653249502182007,-0.1023707389831543,shock_absorber
5,external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,shock_absorber,0.27416175603866577,1,0,0.13122914731502533,0.14293260872364044,taillight
5,external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,shock_absorber,0.27416175603866577,1,1,0.041459787636995316,0.23270196840167046,taillight
5,external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,shock_absorber,0.27416175603866577,1,2,0.20832417905330658,0.06583757698535919,taillight
5,external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,shock_absorber,0.27416175603866577,2,0,0.2541924715042114,0.019969284534454346,taillight
5,external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,shock_absorber,0.27416175603866577,2,1,0.4165773391723633,-0.1424155831336975,shock_absorber
5,external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,shock_absorber,0.27416175603866577,2,2,0.19726568460464478,0.076896071434021,starter
6,air_filter_004_01,air_filter,generated_development,air_filter,0.5385183691978455,0,0,0.46125081181526184,0.07726755738258362,air_filter
6,air_filter_004_01,air_filter,generated_development,air_filter,0.5385183691978455,0,1,0.4201661944389343,0.11835217475891113,air_filter
6,air_filter_004_01,air_filter,generated_development,air_filter,0.5385183691978455,0,2,0.3688652515411377,0.16965311765670776,air_filter
6,air_filter_004_01,air_filter,generated_development,air_filter,0.5385183691978455,1,0,0.7299836277961731,-0.19146525859832764,air_filter
6,air_filter_004_01,air_filter,generated_development,air_filter,0.5385183691978455,1,1,0.5391602516174316,-0.0006418824195861816,air_filter
6,air_filter_004_01,air_filter,generated_development,air_filter,0.5385183691978455,1,2,0.42727428674697876,0.1112440824508667,air_filter
6,air_filter_004_01,air_filter,generated_development,air_filter,0.5385183691978455,2,0,0.4973747432231903,0.04114362597465515,air_filter
6,air_filter_004_01,air_filter,generated_development,air_filter,0.5385183691978455,2,1,0.2779078483581543,0.26061052083969116,headlight
6,air_filter_004_01,air_filter,generated_development,air_filter,0.5385183691978455,2,2,0.35882434248924255,0.1796940267086029,headlight
7,external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,brake_pad,0.6105323433876038,0,0,0.5754984617233276,0.03503388166427612,brake_pad
7,external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,brake_pad,0.6105323433876038,0,1,0.6233332753181458,-0.012800931930541992,brake_pad
7,external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,brake_pad,0.6105323433876038,0,2,0.7783941030502319,-0.16786175966262817,brake_pad
7,external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,brake_pad,0.6105323433876038,1,0,0.6591055393218994,-0.048573195934295654,brake_pad
7,external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,brake_pad,0.6105323433876038,1,1,0.1557338684797287,0.45479847490787506,starter
7,external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,brake_pad,0.6105323433876038,1,2,0.4530821740627289,0.15745016932487488,brake_pad
7,external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,brake_pad,0.6105323433876038,2,0,0.7115648984909058,-0.101032555103302,brake_pad
7,external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,brake_pad,0.6105323433876038,2,1,0.7591701745986938,-0.1486378312110901,brake_pad
7,external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,brake_pad,0.6105323433876038,2,2,0.7732121348381042,-0.1626797914505005,brake_pad
8,external_image_starter_1650046,starter,wikimedia_commons_open_license,starter,0.668617308139801,0,0,0.5657744407653809,0.10284286737442017,starter
8,external_image_starter_1650046,starter,wikimedia_commons_open_license,starter,0.668617308139801,0,1,0.48903635144233704,0.179580956697464,starter
8,external_image_starter_1650046,starter,wikimedia_commons_open_license,starter,0.668617308139801,0,2,0.42286813259124756,0.24574917554855347,coil_spring
8,external_image_starter_1650046,starter,wikimedia_commons_open_license,starter,0.668617308139801,1,0,0.11641240864992142,0.5522048994898796,coil_spring
8,external_image_starter_1650046,starter,wikimedia_commons_open_license,starter,0.668617308139801,1,1,0.2054196000099182,0.4631977081298828,coil_spring
8,external_image_starter_1650046,starter,wikimedia_commons_open_license,starter,0.668617308139801,1,2,0.09834028780460358,0.5702770203351974,coil_spring
8,external_image_starter_1650046,starter,wikimedia_commons_open_license,starter,0.668617308139801,2,0,0.6387580633163452,0.02985924482345581,starter
8,external_image_starter_1650046,starter,wikimedia_commons_open_license,starter,0.668617308139801,2,1,0.2934432327747345,0.37517407536506653,coil_spring
8,external_image_starter_1650046,starter,wikimedia_commons_open_license,starter,0.668617308139801,2,2,0.22776688635349274,0.4408504217863083,coil_spring
