image_id,part_group_id,object_group_id,image_path,part_family,part_category,source,split,sha256
alternator_003_01,alternator_003,synthetic_family_alternator,data/images/generated/alternator_003_01.png,electrical,alternator,generated,train,99d91936473980711e052f33d79783cfecd0f1e9ddd22c463828e689f3f5d19d
alternator_004_01,alternator_004,synthetic_family_alternator,data/images/generated/alternator_004_01.png,electrical,alternator,generated,train,f783aafa4506e2f495d5407230b4a43d1cd9110613c54381b14e18daed3c0205
alternator_005_01,alternator_005,synthetic_family_alternator,data/images/generated/alternator_005_01.png,electrical,alternator,generated,train,8b94f2db3cd81bf4de6dfecffcd7dfba869104c64a2cebf91c534ef5ed5aadf9
external_image_alternator_10186168,external_group_alternator_10186168,wikimedia_alternator_101861_series,data/images/wikimedia/alternator/commons_alternator_10186168.jpg,electrical,alternator,wikimedia,train,06f0988e93dc7c258b5ec95fe591c0bed0d9841560a5adb6d96602cc7e2d22e7
external_image_alternator_10186172,external_group_alternator_10186172,wikimedia_alternator_101861_series,data/images/wikimedia/alternator/commons_alternator_10186172.jpg,electrical,alternator,wikimedia,train,2df953cd94169eaf14a11fbfcdb502a9adbd114b7629ea719eff508aeff18006
external_image_alternator_1242324,external_group_alternator_1242324,wikimedia_object_alternator_1242324,data/images/wikimedia/alternator/commons_alternator_1242324.jpg,electrical,alternator,wikimedia,train,22fbf9d524d2a9156432e27669877223d72e1404cb2b61636fc425673bc24429
external_image_alternator_12811841,external_group_alternator_12811841,wikimedia_object_alternator_12811841,data/images/wikimedia/alternator/commons_alternator_12811841.jpg,electrical,alternator,wikimedia,train,3eb4e346f56d97d8510d0f50a27b7f74cd26174265f3f6213696c830f783540f
external_image_alternator_1791740,external_group_alternator_1791740,wikimedia_object_alternator_1791740,data/images/wikimedia/alternator/commons_alternator_1791740.jpg,electrical,alternator,wikimedia,train,089494404556c0b240a5a2902d9cfa0bde640a4fbb4c6b60d1a68422538a77b3
brake_disc_001_01,brake_disc_001,synthetic_family_brake_disc,data/images/generated/brake_disc_001_01.png,braking,brake_disc,generated,train,943915614fc73c1a88687551039eb88fbe214c2268d7e4d2e25ed5282a812797
brake_disc_002_01,brake_disc_002,synthetic_family_brake_disc,data/images/generated/brake_disc_002_01.png,braking,brake_disc,generated,train,778be1e1a07e565fa2765622153f2eae0e684d76d77f9ff82c5775da588bd17d
brake_disc_003_01,brake_disc_003,synthetic_family_brake_disc,data/images/generated/brake_disc_003_01.png,braking,brake_disc,generated,train,80d51330c20ea36686d369adb8ede26600a66305bbc121aaa8c703c55a9912a5
brake_disc_004_01,brake_disc_004,synthetic_family_brake_disc,data/images/generated/brake_disc_004_01.png,braking,brake_disc,generated,train,fbed25ae200ced270b8772c4e78fa251c70dc1f2f35b0813549eae70f508615a
brake_disc_005_01,brake_disc_005,synthetic_family_brake_disc,data/images/generated/brake_disc_005_01.png,braking,brake_disc,generated,train,2abe4c8b01cbab5232192f26ca03c86f10c3213e914e88319d2769a0508ab61b
external_image_brake_disc_1012105,external_group_brake_disc_1012105,wikimedia_object_brake_disc_1012105,data/images/wikimedia/brake_disc/commons_brake_disc_1012105.jpg,braking,brake_disc,wikimedia,train,9f06b36df6726bc370d88c20c0dbc830a1f7b8383ff0663206a13acf0e47da14
external_image_brake_disc_2119919,external_group_brake_disc_2119919,wikimedia_object_brake_disc_2119919,data/images/wikimedia/brake_disc/commons_brake_disc_2119919.jpg,braking,brake_disc,wikimedia,train,2ec6603bf866d6ff0e1e70b6777e9eeab8065588bfea7b93a2d4c4a753c5defb
external_image_brake_disc_32848093,external_group_brake_disc_32848093,wikimedia_object_brake_disc_32848093,data/images/wikimedia/brake_disc/commons_brake_disc_32848093.jpg,braking,brake_disc,wikimedia,train,a77ae90dff0f943775f9dec0329b1af8f0d59b94706e825b4f300f165bd9674a
external_image_brake_disc_36552019,external_group_brake_disc_36552019,wikimedia_object_brake_disc_36552019,data/images/wikimedia/brake_disc/commons_brake_disc_36552019.jpg,braking,brake_disc,wikimedia,train,97b00405657e010658b511464337c43b52644b8b02c53f0d3e9aabe7600beeaf
external_image_brake_disc_51002797,external_group_brake_disc_51002797,wikimedia_object_brake_disc_51002797,data/images/wikimedia/brake_disc/commons_brake_disc_51002797.png,braking,brake_disc,wikimedia,train,c729dce9217be7584ff63871a9b9e19f292b29fc16f50e689319b447132fb279
brake_pad_001_01,brake_pad_001,synthetic_family_brake_pad,data/images/generated/brake_pad_001_01.png,braking,brake_pad,generated,train,8d591bb8050017d5a7bcb281590a5e301a1bd8d76611012699f545e0774befa1
brake_pad_002_01,brake_pad_002,synthetic_family_brake_pad,data/images/generated/brake_pad_002_01.png,braking,brake_pad,generated,train,61d7db917da9b9434bef0b259311a030bef5dde8a418e6e6b246a4ad6f646000
brake_pad_003_01,brake_pad_003,synthetic_family_brake_pad,data/images/generated/brake_pad_003_01.png,braking,brake_pad,generated,train,4d5585281035f4f1ead0ba8d5377d934e9c52367b86819b89b3d5802697ea149
brake_pad_004_01,brake_pad_004,synthetic_family_brake_pad,data/images/generated/brake_pad_004_01.png,braking,brake_pad,generated,train,b43c80b144f96a09e3ebb55678024eeaa646938798afa2b79792f2195a3a9bd5
brake_pad_005_01,brake_pad_005,synthetic_family_brake_pad,data/images/generated/brake_pad_005_01.png,braking,brake_pad,generated,train,a0c5dcdbe0c3d633dc18e3403c5d6fcee90c8ba235197d8959bdb1af63920766
external_image_brake_pad_16498941,external_group_brake_pad_16498941,wikimedia_object_brake_pad_16498941,data/images/wikimedia/brake_pad/commons_brake_pad_16498941.jpg,braking,brake_pad,wikimedia,train,d882dc1290db3243f487f3cab963d7b715f25e012f95c07a5e332c16a84f19cd
external_image_brake_pad_18661413,external_group_brake_pad_18661413,wikimedia_object_brake_pad_18661413,data/images/wikimedia/brake_pad/commons_brake_pad_18661413.jpg,braking,brake_pad,wikimedia,train,b097c4ea3862da9fd4b8d4521cdff8eaf459d13bc261548d97df92ae5143a026
external_image_brake_pad_20811161,external_group_brake_pad_20811161,wikimedia_object_brake_pad_20811161,data/images/wikimedia/brake_pad/commons_brake_pad_20811161.jpg,braking,brake_pad,wikimedia,train,eafa0d5433979f07ff3508525ac32e6a70face4ca781583c89871a9ab50ddb63
external_image_brake_pad_2470132,external_group_brake_pad_2470132,wikimedia_object_brake_pad_2470132,data/images/wikimedia/brake_pad/commons_brake_pad_2470132.jpg,braking,brake_pad,wikimedia,train,7b7059632ca3274df6f34256a83b56664455aae277d2ccfb2d7ba8053e3cb18e
external_image_brake_pad_47781594,external_group_brake_pad_47781594,wikimedia_object_brake_pad_47781594,data/images/wikimedia/brake_pad/commons_brake_pad_47781594.jpg,braking,brake_pad,wikimedia,train,c357f66eae41fef5c7d3255e9ddceb7e2da19e4d4de70b1cbd7bf598245f052f
coil_spring_001_01,coil_spring_001,synthetic_family_coil_spring,data/images/generated/coil_spring_001_01.png,suspension,coil_spring,generated,train,9bda6d1eead9b927aa309dd1f78fe6e47fe51429be493de219cecfcc36b9496b
coil_spring_002_01,coil_spring_002,synthetic_family_coil_spring,data/images/generated/coil_spring_002_01.png,suspension,coil_spring,generated,train,e736891836e2e064bb0772ee37ff7b0969f39f5d23e41d026e4d83f9b2308f60
coil_spring_003_01,coil_spring_003,synthetic_family_coil_spring,data/images/generated/coil_spring_003_01.png,suspension,coil_spring,generated,train,387a0e286619f507cbcc4e56e70354074b97b2dafa7721e71f9e40961ab63dde
coil_spring_004_01,coil_spring_004,synthetic_family_coil_spring,data/images/generated/coil_spring_004_01.png,suspension,coil_spring,generated,train,0d4016a4cfbc92883592106c3fed7adaf9a3af46b64e3bec57e47de63d0f5887
coil_spring_005_01,coil_spring_005,synthetic_family_coil_spring,data/images/generated/coil_spring_005_01.png,suspension,coil_spring,generated,train,104601e7802239d077fdb0f9acab2385c48ed247485bb6ee404365f223c82e76
external_image_coil_spring_1136563,external_group_coil_spring_1136563,wikimedia_object_coil_spring_1136563,data/images/wikimedia/coil_spring/commons_coil_spring_1136563.jpg,suspension,coil_spring,wikimedia,train,04d8b9c016508f0a5a140f0f876498d2294ace43f7bbed18e6198bf658f9a76a
external_image_coil_spring_1435750,external_group_coil_spring_1435750,wikimedia_object_coil_spring_1435750,data/images/wikimedia/coil_spring/commons_coil_spring_1435750.jpg,suspension,coil_spring,wikimedia,train,622f186cfa90aa9270ddf634d0171a94605bb62cbfa9c95cac39e2ab8f904b6c
external_image_coil_spring_18496373,external_group_coil_spring_18496373,wikimedia_object_coil_spring_18496373,data/images/wikimedia/coil_spring/commons_coil_spring_18496373.jpg,suspension,coil_spring,wikimedia,train,b48e9509a970a079e1626252a1d06b66c57c3cf35d49ded623775ea2318a96ef
external_image_coil_spring_4525127,external_group_coil_spring_4525127,wikimedia_object_coil_spring_4525127,data/images/wikimedia/coil_spring/commons_coil_spring_4525127.jpg,suspension,coil_spring,wikimedia,train,7c40b203f3afa3738f36b8614257eba31892b3cffc77c6b65073ca37a6706169
external_image_coil_spring_8858562,external_group_coil_spring_8858562,wikimedia_object_coil_spring_8858562,data/images/wikimedia/coil_spring/commons_coil_spring_8858562.jpg,suspension,coil_spring,wikimedia,train,1b8bbf2fcbf7bc82a31944a8e535053dfbe3fb551ea1c38fbaed5a3c2c8ffa7f
headlight_001_01,headlight_001,synthetic_family_headlight,data/images/generated/headlight_001_01.png,lighting,headlight,generated,train,67df37389449933ab3466c232cead0b1f6920190dd714c1a42f140e43d6df2ab
headlight_002_01,headlight_002,synthetic_family_headlight,data/images/generated/headlight_002_01.png,lighting,headlight,generated,train,bb8204c3b29ef9bf4e2e6842298ce51bcfd4fd73aae7318b18e26bf0ef326f11
headlight_003_01,headlight_003,synthetic_family_headlight,data/images/generated/headlight_003_01.png,lighting,headlight,generated,train,791192c6f30ced2b89c12f0248c2553cf4dac7136b8ec10b57d5afa153e7816c
headlight_004_01,headlight_004,synthetic_family_headlight,data/images/generated/headlight_004_01.png,lighting,headlight,generated,train,bf21ea23646d5bd323c397fbfd078a711064069e01fb2b87f18f66cb60272549
headlight_005_01,headlight_005,synthetic_family_headlight,data/images/generated/headlight_005_01.png,lighting,headlight,generated,train,47d5fb32f3caa9973f27cb3622db025d8afafe80afd812b08f3b849f30299ebd
external_image_headlight_1603335,external_group_headlight_1603335,wikimedia_object_headlight_1603335,data/images/wikimedia/headlight/commons_headlight_1603335.jpg,lighting,headlight,wikimedia,train,5e256441d5d60a684c3cbc7b6ee7b66ddf71057aa355fca4aa9f3531263e0727
external_image_headlight_1859134,external_group_headlight_1859134,wikimedia_object_headlight_1859134,data/images/wikimedia/headlight/commons_headlight_1859134.jpg,lighting,headlight,wikimedia,train,579533195eee4581e133bec6d74047e86368fb67895b9363d0df651c5c87fe04
external_image_headlight_2096229,external_group_headlight_2096229,wikimedia_object_headlight_2096229,data/images/wikimedia/headlight/commons_headlight_2096229.png,lighting,headlight,wikimedia,train,b2be0eae1e4e6decec8db96089b23cafae06475b99ca404e055b850a2be7ed3d
external_image_headlight_2983638,external_group_headlight_2983638,wikimedia_object_headlight_2983638,data/images/wikimedia/headlight/commons_headlight_2983638.jpg,lighting,headlight,wikimedia,train,505d3072ba1b4f13306e8bf9f091d2d82b34f806100cd20b0852617d4c57e79d
external_image_headlight_4620767,external_group_headlight_4620767,wikimedia_object_headlight_4620767,data/images/wikimedia/headlight/commons_headlight_4620767.jpg,lighting,headlight,wikimedia,train,c7f8cb01d0e942840814c4969825ac15d9bed48c2d2faacd4e47f4a29d439784
oil_filter_001_01,oil_filter_001,synthetic_family_oil_filter,data/images/generated/oil_filter_001_01.png,filtration,oil_filter,generated,train,4f23730a6a2472c25133492a56c3223690f8693afcf542f7fd76584510519877
oil_filter_002_01,oil_filter_002,synthetic_family_oil_filter,data/images/generated/oil_filter_002_01.png,filtration,oil_filter,generated,train,4bceb6540829f30f0ed6baeee1de5399377ba2047ec9675dbd2b3e8bb1d2017b
oil_filter_003_01,oil_filter_003,synthetic_family_oil_filter,data/images/generated/oil_filter_003_01.png,filtration,oil_filter,generated,train,47753219f92a5b05f5c9a33f95f9104f5a4e3c127a8d894c07057eaaea46b5d3
oil_filter_004_01,oil_filter_004,synthetic_family_oil_filter,data/images/generated/oil_filter_004_01.png,filtration,oil_filter,generated,train,1b2d91db7b5be0c7fb532cc6a61813f847aa4f725caa0bf2d63a0fe274797c65
oil_filter_005_01,oil_filter_005,synthetic_family_oil_filter,data/images/generated/oil_filter_005_01.png,filtration,oil_filter,generated,train,805474e740363e868eba2c2c083b0576ecd16bc5ebc08786e983d367d03f4052
external_image_oil_filter_1012231,external_group_oil_filter_1012231,wikimedia_object_oil_filter_1012231,data/images/wikimedia/oil_filter/commons_oil_filter_1012231.jpg,filtration,oil_filter,wikimedia,train,ef30c9b97d2af7c6ad690a16ce119c6d4c8dfb12308187d67a430359fb2700c2
external_image_oil_filter_1158213,external_group_oil_filter_1158213,wikimedia_oil_filter_115821_series,data/images/wikimedia/oil_filter/commons_oil_filter_1158213.jpg,filtration,oil_filter,wikimedia,train,de2216a53d4235d1d9dfe80719c2f6925a4b3cacc824f5cb3a314828e3248152
external_image_oil_filter_1158214,external_group_oil_filter_1158214,wikimedia_oil_filter_115821_series,data/images/wikimedia/oil_filter/commons_oil_filter_1158214.jpg,filtration,oil_filter,wikimedia,train,32fd07ede68646a3d0ac7b4b23fb9a151109f50506b7a8605c1f754e4787e6a6
external_image_oil_filter_1715177,external_group_oil_filter_1715177,wikimedia_object_oil_filter_1715177,data/images/wikimedia/oil_filter/commons_oil_filter_1715177.jpg,filtration,oil_filter,wikimedia,train,666d30908d939dfeb6af02af0400e998c38c8fa53e008cb1da8c26c66275f1bd
external_image_oil_filter_2584768,external_group_oil_filter_2584768,wikimedia_object_oil_filter_2584768,data/images/wikimedia/oil_filter/commons_oil_filter_2584768.jpg,filtration,oil_filter,wikimedia,train,047e960be25227364315f9dd6f25e67f2cb46b1127ee8e7b7a377b30854a070b
shock_absorber_001_01,shock_absorber_001,synthetic_family_shock_absorber,data/images/generated/shock_absorber_001_01.png,suspension,shock_absorber,generated,train,e97c2c0db4a7e29c6f5280cac2e9556f5e7ce0d603bbe1bb735f38baedbaa78c
shock_absorber_002_01,shock_absorber_002,synthetic_family_shock_absorber,data/images/generated/shock_absorber_002_01.png,suspension,shock_absorber,generated,train,f03f2d7dfacf45bd15ee2ea8a06f356a5380915c8431d5da2fbb66447c873d35
shock_absorber_003_01,shock_absorber_003,synthetic_family_shock_absorber,data/images/generated/shock_absorber_003_01.png,suspension,shock_absorber,generated,train,f4b507f3fccaf5d5a206f1da2957c10834177a346cf0fa29b6851a0cc35747b9
shock_absorber_004_01,shock_absorber_004,synthetic_family_shock_absorber,data/images/generated/shock_absorber_004_01.png,suspension,shock_absorber,generated,train,f0a017e41393fe43fe0caef3b6583197121e34e79564fc7b5f7f079dd4060a01
shock_absorber_005_01,shock_absorber_005,synthetic_family_shock_absorber,data/images/generated/shock_absorber_005_01.png,suspension,shock_absorber,generated,train,e459aa12bc92e3bf5755b1a23fc1c0dc9a7b125e5be20f6e656a3c4c83c356d2
external_image_shock_absorber_1196179,external_group_shock_absorber_1196179,wikimedia_shock_absorber_11961_series,data/images/wikimedia/shock_absorber/commons_shock_absorber_1196179.jpg,suspension,shock_absorber,wikimedia,train,0be69eb094e96e5b079817bd52ad1cb52692127f764bca2b43f4c5b17ee7a00c
external_image_shock_absorber_1196183,external_group_shock_absorber_1196183,wikimedia_shock_absorber_11961_series,data/images/wikimedia/shock_absorber/commons_shock_absorber_1196183.jpg,suspension,shock_absorber,wikimedia,train,52bd76652a20657ae5d8ec2e6a65fad2879214922b3275c1fc35f351d3f95106
external_image_shock_absorber_1196186,external_group_shock_absorber_1196186,wikimedia_shock_absorber_11961_series,data/images/wikimedia/shock_absorber/commons_shock_absorber_1196186.jpg,suspension,shock_absorber,wikimedia,train,53b89699a06236e74f3a95cf721aa87c06b04fb798391698517f27b424dc3d70
external_image_shock_absorber_551757,external_group_shock_absorber_551757,wikimedia_object_shock_absorber_551757,data/images/wikimedia/shock_absorber/commons_shock_absorber_551757.jpg,suspension,shock_absorber,wikimedia,train,78ba02bc87b649d18dd9c44737183cba09d94faae8d0c72a62cc5f18e30597da
external_image_shock_absorber_886414,external_group_shock_absorber_886414,wikimedia_object_shock_absorber_886414,data/images/wikimedia/shock_absorber/commons_shock_absorber_886414.jpg,suspension,shock_absorber,wikimedia,train,cc7ae518959e15a5aead1274300ced380a5f825627bb4becd8eac81ef448db1b
starter_001_01,starter_001,synthetic_family_starter,data/images/generated/starter_001_01.png,electrical,starter,generated,train,15a3ec394ddd7235c8f223f36f9e7b52b0afbcf467d6e0ace45a48e51598c2ca
starter_002_01,starter_002,synthetic_family_starter,data/images/generated/starter_002_01.png,electrical,starter,generated,train,3a11dd249e5b6f5e5ddc650d0d24e4fddd72adc4fcd37a361844088b31e7d062
starter_003_01,starter_003,synthetic_family_starter,data/images/generated/starter_003_01.png,electrical,starter,generated,train,5fa446c707c908bab4930fd5aa1b928df382650265b76c1a44384df3bae32b01
starter_004_01,starter_004,synthetic_family_starter,data/images/generated/starter_004_01.png,electrical,starter,generated,train,be2564440abe041bb5f19e5d41ad982abcb000932f41e887eea03bc5485cf741
starter_005_01,starter_005,synthetic_family_starter,data/images/generated/starter_005_01.png,electrical,starter,generated,train,5b76d24e9db3ce2d164460d385e96c2b5c6ec05cabb6fb5e9621288432f48f56
external_image_starter_1048980,external_group_starter_1048980,wikimedia_object_starter_1048980,data/images/wikimedia/starter/commons_starter_1048980.jpg,electrical,starter,wikimedia,train,37ba0bc63d94fff1ce22ea311005e5f1b75e36b1ed39983d3154ee817e65a260
external_image_starter_13616832,external_group_starter_13616832,wikimedia_object_starter_13616832,data/images/wikimedia/starter/commons_starter_13616832.jpg,electrical,starter,wikimedia,train,74766f65efab08e5d7e28b8c970fd9c85e1cc9b4b207d1b2fd783cb86cc2731c
external_image_starter_1650041,external_group_starter_1650041,wikimedia_starter_165004_series,data/images/wikimedia/starter/commons_starter_1650041.jpg,electrical,starter,wikimedia,train,420e0674b6e0821a1b140067d747e28b1f46d54607cfb9d8d2ed7c3bddc6275c
external_image_starter_1650046,external_group_starter_1650046,wikimedia_starter_165004_series,data/images/wikimedia/starter/commons_starter_1650046.jpg,electrical,starter,wikimedia,train,cabf7de58999ba7bd77964764a20fc39093ec5cfbb98fd2642bba5a284ac99ee
external_image_starter_37895983,external_group_starter_37895983,wikimedia_object_starter_37895983,data/images/wikimedia/starter/commons_starter_37895983.jpg,electrical,starter,wikimedia,train,4b145703d85f95c867bb02a9a7306fce53eba8b633bf30a2fbfff06779a8748c
taillight_001_01,taillight_001,synthetic_family_taillight,data/images/generated/taillight_001_01.png,lighting,taillight,generated,train,5ec92debe1b00a48448aca08d83067ee417e3aa3e61fb04729574de9d34d8a48
taillight_002_01,taillight_002,synthetic_family_taillight,data/images/generated/taillight_002_01.png,lighting,taillight,generated,train,00c9e78859bc5984f04a9d46bf0358c90d2072cbc37e29a02d7ed8d0b4b3113f
taillight_003_01,taillight_003,synthetic_family_taillight,data/images/generated/taillight_003_01.png,lighting,taillight,generated,train,34620266546b46924fa00d52778953c1c40ef6c900057172861dea78c8408785
taillight_004_01,taillight_004,synthetic_family_taillight,data/images/generated/taillight_004_01.png,lighting,taillight,generated,train,d50c642814b28f10064dca40b450bbc8ca9919a2d6889e3c084f79da8cd2069a
taillight_005_01,taillight_005,synthetic_family_taillight,data/images/generated/taillight_005_01.png,lighting,taillight,generated,train,8e14d524b66463a90eb635b16a4ab0cd1075e11fb5322f7114d234b872d67287
external_image_taillight_18026985,external_group_taillight_18026985,wikimedia_taillight_1802_series,data/images/wikimedia/taillight/commons_taillight_18026985.jpg,lighting,taillight,wikimedia,train,e85e5fdce50419ef2ec52c2d8ae0ffee8aeae681c97b3a2564b4fd9795474678
external_image_taillight_18027695,external_group_taillight_18027695,wikimedia_taillight_1802_series,data/images/wikimedia/taillight/commons_taillight_18027695.jpg,lighting,taillight,wikimedia,train,8f376160a246222f80e731c91085c0f65a8ae7bf6b16fcba7c4ab8ca69199466
external_image_taillight_1900673,external_group_taillight_1900673,wikimedia_object_taillight_1900673,data/images/wikimedia/taillight/commons_taillight_1900673.jpg,lighting,taillight,wikimedia,train,5ebaaeda478e0a5d8aee192852f53704c838a7a7e5e463d8acad1c9c14944fea
external_image_taillight_4518332,external_group_taillight_4518332,wikimedia_object_taillight_4518332,data/images/wikimedia/taillight/commons_taillight_4518332.jpg,lighting,taillight,wikimedia,train,1c4c025b0f0516e155bd75ead0d6fbdce525e21564c9d424955ebe9dc9a862a9
external_image_taillight_7099374,external_group_taillight_7099374,wikimedia_object_taillight_7099374,data/images/wikimedia/taillight/commons_taillight_7099374.jpg,lighting,taillight,wikimedia,train,779a356d8c42cf5de6d6c21d59b389303031d53e99898579c51ca3de7ac1ccd0
external_image_air_filter_new_validation,external_group_air_filter_new_validation,wikimedia_object_air_filter_new_validation,data/images/wikimedia/air_filter/commons_air_filter_new_validation.jpg,filtration,air_filter,wikimedia,validation,e88ccbec54e5dbe5ce042390e669f943f5a684f8ab569ed90c21009578505637
external_image_alternator_new_validation,external_group_alternator_new_validation,wikimedia_object_alternator_new_validation,data/images/wikimedia/alternator/commons_alternator_new_validation.jpg,electrical,alternator,wikimedia,validation,92beb8d6366e5f71a36b9d09a0630fd0bee928cc662ea9e3f4989986d5391b4a
external_image_brake_disc_new_validation,external_group_brake_disc_new_validation,wikimedia_object_brake_disc_new_validation,data/images/wikimedia/brake_disc/commons_brake_disc_new_validation.jpg,braking,brake_disc,wikimedia,validation,98357b58914aa4b5af4f98dbb253a0d8b38726b5d428dd1b8978b03b10aa0457
external_image_brake_pad_new_validation,external_group_brake_pad_new_validation,wikimedia_object_brake_pad_new_validation,data/images/wikimedia/brake_pad/commons_brake_pad_new_validation.jpg,braking,brake_pad,wikimedia,validation,5bdfc949ee7893c1b240bb170a02e2e38e5cdb27acd2cfab7ad8e273f3844dab
external_image_coil_spring_new_validation,external_group_coil_spring_new_validation,wikimedia_object_coil_spring_new_validation,data/images/wikimedia/coil_spring/commons_coil_spring_new_validation.jpg,suspension,coil_spring,wikimedia,validation,1788178305d8fec385432a86ea0eda2d6105fcbbc65e64b160697d5644435bd8
